Manufacturer,Model Year,Yearly Sustainability Score
BMW,2008,21.982128562227313
BMW,2009,22.49788483945351
BMW,2010,22.945182171852334
BMW,2011,24.57803511137357
BMW,2012,25.6993195409338
BMW,2013,26.704817289769963
BMW,2014,29.425558919439965
BMW,2015,29.668969640004104
BMW,2016,29.22336678292794
BMW,2017,29.422737596324026
BMW,2018,30.013728338289763
BMW,2019,31.12824985322396
BMW,2020,30.655572337283427
BMW,2021,31.781349558837817
BMW,2022,31.70344052176786
BMW,2023,36.86835929038846
BMW,2024,40.27671776010852
Ford,2008,18.168492547470258
Ford,2009,20.133371992493817
Ford,2010,21.0921351906608
Ford,2011,22.106435763171454
Ford,2012,23.354966747489428
Ford,2013,24.689839430404902
Ford,2014,24.717236157873455
Ford,2015,25.536948704456158
Ford,2016,25.44633848130845
Ford,2017,25.74880746121055
Ford,2018,26.078607088395476
Ford,2019,26.74651993936762
Ford,2020,27.856522513085178
Ford,2021,31.82529298191801
Ford,2022,31.382226599706943
Ford,2023,35.2965717356871
Ford,2024,33.6092074753184
GM,2008,18.219384097402006
GM,2009,18.581241255336202
GM,2010,20.27990736686763
GM,2011,19.888029127938072
GM,2012,20.950941450707873
GM,2013,21.6945287784147
GM,2014,23.056211485733073
GM,2015,22.335070019684746
GM,2016,22.378637283284423
GM,2017,23.503624186767837
GM,2018,28.182414389811548
GM,2019,27.45886251976119
GM,2020,28.638817164838898
GM,2021,27.653657566537177
GM,2022,28.58079270339301
GM,2023,30.361440237980723
GM,2024,30.672946887241675
Honda,2008,23.190261190876225
Honda,2009,23.76678368466054
Honda,2010,24.62820436444176
Honda,2011,24.831115901489817
Honda,2012,26.665631827312133
Honda,2013,27.503944351009775
Honda,2014,28.13999723702473
Honda,2015,31.2956745565167
Honda,2016,31.22977787884512
Honda,2017,31.10527809771293
Honda,2018,31.971111466940762
Honda,2019,31.307205836645224
Honda,2020,31.479562060482365
Honda,2021,31.103921696933185
Honda,2022,31.533899844621327
Honda,2023,32.192763202879384
Honda,2024,33.610993088354626
Hyundai,2008,23.795294166496117
Hyundai,2009,24.451686729754897
Hyundai,2010,28.083255699180793
Hyundai,2011,27.83388859891682
Hyundai,2012,28.4577312331679
Hyundai,2013,28.78189133177305
Hyundai,2014,27.280244080427895
Hyundai,2015,27.487698957327407
Hyundai,2016,28.317230408327802
Hyundai,2017,28.714776630052437
Hyundai,2018,28.589316572956037
Hyundai,2019,29.094218073118174
Hyundai,2020,30.693778681521007
Hyundai,2021,31.805535500840218
Hyundai,2022,34.82948295499441
Hyundai,2023,36.76183057021624
Hyundai,2024,39.70674244077487
Kia,2008,21.69442170260427
Kia,2009,22.812210788848315
Kia,2010,24.887707164723
Kia,2011,26.981169223864786
Kia,2012,27.00548915849767
Kia,2013,28.498945960867065
Kia,2014,25.455671499656336
Kia,2015,26.08027226813311
Kia,2016,26.95049944041008
Kia,2017,28.47064741313732
Kia,2018,28.533904134240625
Kia,2019,29.81970047473239
Kia,2020,29.88493244026052
Kia,2021,31.078901946935463
Kia,2022,33.311255751951634
Kia,2023,34.656192705074005
Kia,2024,38.45455765456156
Mazda,2008,22.786531492684393
Mazda,2009,23.25579219860047
Mazda,2010,25.2559210744502
Mazda,2011,26.08854083782763
Mazda,2012,27.388885299707155
Mazda,2013,29.917925068716098
Mazda,2014,30.981691283221412
Mazda,2015,31.122605516280444
Mazda,2016,32.458876755454185
Mazda,2017,31.87278809831292
Mazda,2018,32.3032068545854
Mazda,2019,31.867547133692028
Mazda,2020,31.972121808143022
Mazda,2021,31.726740189288382
Mazda,2022,31.580010276722287
Mazda,2023,31.977329704034045
Mazda,2024,31.962174044884765
Mercedes,2008,20.39044251862692
Mercedes,2009,20.635561275940507
Mercedes,2010,18.888027083497175
Mercedes,2011,18.823957752116456
Mercedes,2012,21.86259894364586
Mercedes,2013,24.43770790242747
Mercedes,2014,25.2671157204832
Mercedes,2015,26.34570378421878
Mercedes,2016,26.38150056767078
Mercedes,2017,26.58666874196157
Mercedes,2018,26.83138543857118
Mercedes,2019,26.827508119447042
Mercedes,2020,27.504621989407628
Mercedes,2021,27.558721938964194
Mercedes,2022,29.307533351793204
Mercedes,2023,40.72648015190447
Mercedes,2024,45.05183298503316
Nissan,2008,19.903098018367057
Nissan,2009,21.92740456826839
Nissan,2010,22.896043588630725
Nissan,2011,22.854777607356162
Nissan,2012,23.31384338761857
Nissan,2013,26.618068299586838
Nissan,2014,27.009681572092074
Nissan,2015,28.85009337554736
Nissan,2016,29.44407870143958
Nissan,2017,28.912788204251022
Nissan,2018,29.22107396431342
Nissan,2019,29.07344907641698
Nissan,2020,30.090203274889554
Nissan,2021,30.418180801186743
Nissan,2022,31.219534173332047
Nissan,2023,33.32408175450243
Nissan,2024,33.34511186825149
Stellantis,2008,19.58129776250563
Stellantis,2009,18.62047172146793
Stellantis,2010,19.09970031475744
Stellantis,2011,20.745012914968495
Stellantis,2012,20.311835131961942
Stellantis,2013,21.458487905628374
Stellantis,2014,22.475453553134244
Stellantis,2015,23.985170703424895
Stellantis,2016,23.676249524206586
Stellantis,2017,23.987862724888558
Stellantis,2018,24.502822284123948
Stellantis,2019,24.204992858593318
Stellantis,2020,24.56508988981828
Stellantis,2021,24.957179418110524
Stellantis,2022,25.076424933571758
Stellantis,2023,25.944791234837187
Stellantis,2024,35.365872876031574
Subaru,2008,23.925336203119212
Subaru,2009,24.803480293006533
Subaru,2010,26.2355190199299
Subaru,2011,26.668265019268365
Subaru,2012,28.66925048751156
Subaru,2013,30.113091780625123
Subaru,2014,31.001628363817673
Subaru,2015,31.89109523863459
Subaru,2016,31.868875658488886
Subaru,2017,32.47740639643762
Subaru,2018,32.49850327135384
Subaru,2019,32.798182951807114
Subaru,2020,32.71714838185353
Subaru,2021,32.41042041018782
Subaru,2022,32.25438686470839
Subaru,2023,32.704358253237096
Subaru,2024,32.438981762892745
Tesla,2008,30.257409439600497
Tesla,2009,30.257409439600497
Tesla,2010,30.257409439600497
Tesla,2011,30.257409439600497
Tesla,2012,58.262550908847906
Tesla,2013,58.262550908847906
Tesla,2014,58.377019307170876
Tesla,2015,61.349958427211256
Tesla,2016,73.16320871904168
Tesla,2017,73.7412133640285
Tesla,2018,95.82249466006355
Tesla,2019,97.56984405446347
Tesla,2020,97.71850954401934
Tesla,2021,97.8211975421109
Tesla,2022,96.8624487047566
Tesla,2023,97.26208088326642
Tesla,2024,96.06272954512895
Toyota,2008,22.84540509257957
Toyota,2009,24.772291281131956
Toyota,2010,25.269601426521984
Toyota,2011,24.537227493781767
Toyota,2012,25.65833580694109
Toyota,2013,26.03856621866001
Toyota,2014,25.949657454532073
Toyota,2015,26.19746097752594
Toyota,2016,26.531878960178627
Toyota,2017,27.998114786574334
Toyota,2018,28.229562541596188
Toyota,2019,29.219184821923324
Toyota,2020,30.043002251400782
Toyota,2021,33.395177940954184
Toyota,2022,34.2234238504752
Toyota,2023,34.96357574947269
Toyota,2024,36.86542166667226
VW,2008,23.3275360469776
VW,2009,25.585626411171273
VW,2010,26.716638177127965
VW,2011,28.037694094235626
VW,2012,27.79980942854843
VW,2013,27.732713696862927
VW,2014,27.89897332147128
VW,2015,28.403395938705593
VW,2016,28.963292340066673
VW,2017,28.754672234551975
VW,2018,28.690419263029206
VW,2019,30.926610806765886
VW,2020,29.09167646609877
VW,2021,34.775769720251844
VW,2022,36.04310720598851
VW,2023,36.71620080978926
VW,2024,37.291434467401274
